3/4_sprint,3p%,3pa_rate,3pm-3pa,ast,ast/to,ast/usg,birth_date,blk,bpm,dbpm,draft_age,draft_position,draft_year,drtg,dws/40,effective_fg%,fg%,fgm-fga,ft%,fta_rate,ftm-fta,g,height,high_school,home_town,lane_agility,max_vertical,mp,name,nation,obpm,ortg,ows/40,per,pf,position,pre-draft_team,proj_nba_3p%,pts,reb,school_year,shuttle,standing_reach,stl,title,to,true_shooting_%,url,usg%,weight,wingspan,ws/40
3.21,.307,.353,1.0-3.3,4.9,1.72,1.23,"Jun 12, 1990",0.7,,,19.01 yrs,17th,2009,,.088,.504,.450,4.2-9.4,.726,.249,1.7-2.3,35,"6'4.25"" (6'7"" wingspan)",Campbell Hall School,"Chatsworth, CA",10.64,"34.0""",36.0,Jrue Holiday,USA,,,.051,,2.8,PG/SG,UCLA,.338,11.2,5.0,Freshman,,"8'4.5""",2.1,Jrue Holiday 2009 Draft Profile | Tankathon,2.8,.532,https://tankathon.com/players/jrue-holiday,19.3,199 lbs,"6'7""",.139
,.355,.429,3.3-9.3,4.2,1.27,0.76,"Aug 7, 1984",0.6,,,24.86 yrs,58th,2009,,.114,.525,.449,9.8-21.8,.881,.241,4.6-5.2,32,"6'3""",Central High School,"Memphis, TN",,,36.0,Lester Hudson,USA,,,.149,,2.7,PG,UT Martin,.399,27.5,7.9,Senior,,,2.3,Lester Hudson 2009 Draft Profile | Tankathon,3.3,.566,https://tankathon.com/players/lester-hudson,36.4,190 lbs,,.264
3.3,.418,.471,2.7-6.4,3.6,1.65,0.80,"Jun 22, 1987",1.8,,,21.98 yrs,46th,2009,,.138,.569,.471,6.4-13.5,.852,.156,1.8-2.1,38,"6'6.5"" (6'10"" wingspan)",North Babylon High School,"North Babylon, NY",11.3,"33.0""",36.0,Danny Green,USA,,,.104,,2.9,SF,North Carolina,.386,17.2,6.2,Senior,,"8'7""",2.3,Danny Green 2009 Draft Profile | Tankathon,2.2,.592,https://tankathon.com/players/danny-green,20.5,208 lbs,"6'10""",.242
,.167,.049,0.1-0.5,1.3,0.54,,"Sep 17, 1987",1.1,,,21.75 yrs,47th,2009,,,.520,.516,5.7-11.0,.694,.402,3.1-4.4,30,"6'11""",,"Gorinchem, Netherlands",,,36.0,Henk Norel,Netherlands,,,,,6.3,PF,,.318,14.6,7.6,International,,,0.5,Henk Norel 2009 Draft Profile | Tankathon,2.4,.554,https://tankathon.com/players/henk-norel,,230 lbs,,
3.12,.472,.316,1.8-3.7,7.9,3.48,1.66,"Nov 3, 1987",0.2,,,21.62 yrs,18th,2009,,.095,.607,.532,6.3-11.7,.798,.608,5.7-7.1,35,"6'0.5"" (6'0.75"" wingspan)",Oak Hill Academy,"Clinton, MD",10.98,"36.5""",36.0,Ty Lawson,USA,,,.168,,2.0,PG,North Carolina,.366,20.0,3.6,Junior,,"7'10.5""",2.6,Ty Lawson 2009 Draft Profile | Tankathon,2.3,.659,https://tankathon.com/players/ty-lawson,21.4,197 lbs,"6'0.75""",.263
3.45,.372,.279,1.7-4.6,1.3,0.45,0.24,"Jun 1, 1985",0.9,,,24.04 yrs,36th,2009,,.108,.554,.502,8.2-16.3,.740,.296,3.6-4.8,36,"6'6.75"" (6'10.75"" wingspan)",Friendly High School,"Washington, DC",11.47,"33.0""",36.0,Sam Young,USA,,,.136,,1.9,SF,Pittsburgh,.353,21.7,7.1,Senior,,"8'9.5""",1.1,Sam Young 2009 Draft Profile | Tankathon,2.8,.582,https://tankathon.com/players/sam-young,29.0,223 lbs,"6'10.75""",.241
,.375,.175,0.7-1.8,1.7,0.72,0.45,"Nov 6, 1985",2.0,,,23.61 yrs,60th,2009,,.190,.552,.519,5.3-10.3,.721,.538,4.0-5.5,37,"6'9""",Laurinburg Institute,"Lithonia, GA",,,36.0,Robert Dozier,USA,,,.111,,3.3,SF/PF,Memphis,.334,15.4,8.9,Senior,,,1.5,Robert Dozier 2009 Draft Profile | Tankathon,2.4,.594,https://tankathon.com/players/robert-dozier,20.7,220 lbs,,.301
,.357,.060,0.2-0.5,1.6,0.77,0.49,"Apr 18, 1986",1.2,,,23.16 yrs,48th,2009,,.085,.547,.536,4.2-7.8,.700,.558,3.0-4.3,36,"6'7""",Oklahoma Christian School,"Oklahoma City, OK",,,36.0,Taylor Griffin,USA,,,.074,,3.3,SF/PF,Oklahoma,.320,11.5,7.0,Senior,,,1.6,Taylor Griffin 2009 Draft Profile | Tankathon,2.1,.587,https://tankathon.com/players/taylor-griffin,16.2,238 lbs,,.159
,.390,.440,2.2-5.6,6.9,1.94,,"Feb 7, 1989",0.2,,,20.35 yrs,45th,2009,,,.568,.482,6.2-12.8,.707,.449,4.1-5.7,36,"6'6""",Lake Howell High School,"Winter Park, FL",,,36.0,Nick Calathes,USA,,,,,2.1,PG,Florida,.357,18.5,5.8,Sophomore,,,2.0,Nick Calathes 2009 Draft Profile | Tankathon,3.6,.599,https://tankathon.com/players/nick-calathes,,194 lbs,,
,,,,,,,"Oct 17, 1988",,,,20.66 yrs,49th,2009,,,,,,,,,,"6'5""",,"Mykolaiv, Ukraine",,,,Sergiy Gladyr,Ukraine,,,,,,SG,,,,,International,,,,Sergiy Gladyr 2009 Draft Profile | Tankathon,,,https://tankathon.com/players/sergiy-gladyr,,190 lbs,,
3.14,.336,.258,1.3-4.0,3.0,1.14,0.64,"Dec 9, 1987",0.9,,,21.52 yrs,12th,2009,,.109,.494,.450,7.0-15.5,.761,.397,4.7-6.2,37,"6'5"" (6'10.25"" wingspan)",The Episcopal Academy,"Caldwell, NJ",11.17,"35.0""",36.0,Gerald Henderson,USA,,,.091,,2.1,SG,Duke,.349,20.0,6.0,Junior,,"8'6.5""",1.5,Gerald Henderson 2009 Draft Profile | Tankathon,2.6,.542,https://tankathon.com/players/gerald-henderson,28.3,215 lbs,"6'10.25""",.200
3.31,.167,.098,0.2-1.1,1.6,0.70,,"Aug 7, 1989",0.4,,,19.86 yrs,9th,2009,,,.531,.523,5.9-11.3,.646,.401,2.9-4.5,35,"6'6.5"" (6'9"" wingspan)",Compton High School,"Compton, CA",11.88,"38.5""",36.0,DeMar DeRozan,USA,,,,,2.3,SG/SF,USC,.306,14.9,6.2,Freshman,,"8'6.5""",1.0,DeMar DeRozan 2009 Draft Profile | Tankathon,2.3,.555,https://tankathon.com/players/demar-derozan,,211 lbs,"6'9""",
3.13,.433,.267,1.4-3.1,2.4,1.11,,"Sep 8, 1987",1.0,,,21.77 yrs,40th,2009,,,.562,.504,5.9-11.7,.741,.401,3.5-4.7,35,"6'8.5"" (7'2.5"" wingspan)",Chaminade Julienne High School,"Dayton, OH",11.26,"35.5""",36.0,Derrick Brown,USA,,,,,3.0,SF/PF,Xavier,.350,16.7,7.4,Junior,,"8'11.5""",0.9,Derrick Brown 2009 Draft Profile | Tankathon,2.1,.597,https://tankathon.com/players/derrick-brown,,225 lbs,"7'2.5""",
3.19,.361,.341,2.0-5.5,6.3,2.08,,"Jun 11, 1987",0.2,,,22.01 yrs,20th,2009,,,.524,.463,7.4-16.0,.815,.453,5.9-7.3,34,"6'3.25"" (6'2.5"" wingspan)",Westover High School,"Raeford, NC",10.78,"31.5""",36.0,Eric Maynor,USA,,,,,2.4,PG,VCU,.368,22.7,3.6,Senior,,"8'1""",1.7,Eric Maynor 2009 Draft Profile | Tankathon,3.0,.583,https://tankathon.com/players/eric-maynor,,164 lbs,"6'2.5""",
,,.000,0.0-0.0,0.0,,,"Jun 22, 1989",2.0,,,19.98 yrs,30th,2009,,,.250,.250,2.0-8.0,.500,.500,2.0-4.0,4,"6'7""",,"Kinshasa, DR Congo",,,36.0,Christian Eyenga,DR Congo,,,,,4.0,SF,,,6.0,0.0,International,,,0.0,Christian Eyenga 2009 Draft Profile | Tankathon,0.0,.303,https://tankathon.com/players/christian-eyenga,,210 lbs,,
3.13,.356,.361,1.7-4.7,4.2,1.25,0.90,"Aug 26, 1989",0.3,,,19.81 yrs,3rd,2009,,.064,.553,.489,6.3-13.0,.756,.597,5.9-7.8,35,"6'5.25"" (6'10.75"" wingspan)",Artesia High School,"Los Angeles, CA",11.1,"37.0""",36.0,James Harden,USA,,,.163,,2.8,SG,Arizona State,.354,20.2,5.6,Sophomore,,"8'7.5""",1.7,James Harden 2009 Draft Profile | Tankathon,3.4,.607,https://tankathon.com/players/james-harden,32.5,222 lbs,"6'10.75""",.230
3.23,.317,.298,1.1-3.6,6.4,1.97,,"Feb 6, 1989",0.2,,,20.36 yrs,6th,2009,,,.507,.460,5.6-12.1,.786,.481,4.6-5.8,38,"6'0.75"" (6'4"" wingspan)",Niagara Falls High School,"Niagara Falls, NY",10.86,"40.0""",36.0,Jonny Flynn,USA,,,,,1.4,PG,Syracuse,.348,16.8,2.6,Sophomore,,"7'11.5""",1.4,Jonny Flynn 2009 Draft Profile | Tankathon,3.3,.567,https://tankathon.com/players/jonny-flynn,,196 lbs,"6'4""",
3.1,.394,.302,1.3-3.4,5.4,1.91,1.23,"Aug 23, 1987",0.2,,,21.81 yrs,21st,2009,,.058,.568,.509,5.7-11.2,.897,.366,3.7-4.1,35,"6'1.5"" (6'3"" wingspan)",Etiwanda High School,"Rancho Cucamonga, CA",10.45,"33.5""",36.0,Darren Collison,USA,,,.138,,1.7,PG,UCLA,.369,16.4,2.7,Senior,,"8'0.5""",1.9,Darren Collison 2009 Draft Profile | Tankathon,2.8,.624,https://tankathon.com/players/darren-collison,23.1,166 lbs,"6'3""",.196
3.35,.326,.215,0.9-2.7,3.4,1.00,,"Jan 17, 1988",1.4,,,21.41 yrs,14th,2009,,,.492,.457,5.7-12.5,.647,.314,2.6-3.9,37,"6'10.25"" (7'2.5"" wingspan)",Rahway High School,"Plainfield, NJ",11.17,"33.0""",36.0,Earl Clark,USA,,,,,2.0,PF/SF,Louisville,.325,14.9,9.1,Junior,,"9'1.5""",1.1,Earl Clark 2009 Draft Profile | Tankathon,3.4,.517,https://tankathon.com/players/earl-clark,,228 lbs,"7'2.5""",
3.45,.000,.005,0.0-0.1,0.5,0.18,0.14,"Feb 14, 1989",2.0,,,20.33 yrs,24th,2009,,.060,.638,.638,6.4-10.1,.559,.495,2.8-5.0,33,"7'1.25"" (7'1.5"" wingspan)",Canal Winchester High School,"Canal Winchester, OH",11.1,"32.5""",36.0,Byron Mullens,USA,,,.137,,3.6,C,Ohio State,.298,15.7,8.3,Freshman,,"9'3""",0.9,Byron Mullens 2009 Draft Profile | Tankathon,2.7,.629,https://tankathon.com/players/byron-mullens,24.0,258 lbs,"7'1.5""",.197
,.000,.003,0.0-0.0,0.9,0.37,0.27,"Feb 10, 1987",1.6,,,22.35 yrs,56th,2009,,.092,.612,.612,5.9-9.6,.787,.770,5.8-7.4,32,"6'9""",St. Anthony High School,"Jersey City, NJ",,,36.0,Ahmad Nivins,USA,,,.175,,2.0,PF,Saint Joseph's,.329,17.5,10.8,Senior,,,0.7,Ahmad Nivins 2009 Draft Profile | Tankathon,2.5,.670,https://tankathon.com/players/ahmad-nivins,22.8,242 lbs,,.267
3.18,.441,.275,1.6-3.7,4.0,1.06,,"Jun 10, 1988",0.7,,,21.02 yrs,19th,2009,,,.546,.485,6.5-13.5,.817,.590,6.5-8.0,31,"6'1.5"" (6'7.5"" wingspan)",Pike High School,"Indianapolis, IN",11.05,"36.5""",36.0,Jeff Teague,USA,,,,,2.5,PG,Wake Forest,.365,21.2,3.7,Sophomore,,"8'2.5""",2.1,Jeff Teague 2009 Draft Profile | Tankathon,3.8,.615,https://tankathon.com/players/jeff-teague,,175 lbs,"6'7.5""",
3.18,.385,.378,1.6-4.2,5.3,2.15,,"Jun 28, 1987",0.8,,,21.97 yrs,11th,2009,,,.504,.431,4.8-11.1,.581,.298,1.9-3.3,37,"6'6.25"" (6'9"" wingspan)",Rainier Beach High School,"Seattle, WA",11.15,"37.0""",36.0,Terrence Williams,USA,,,,,1.8,SG/SF,Louisville,.331,13.2,9.0,Senior,,"8'7.5""",2.4,Terrence Williams 2009 Draft Profile | Tankathon,2.4,.517,https://tankathon.com/players/terrence-williams,,213 lbs,"6'9""",
3.28,.388,.371,2.5-6.5,2.4,1.17,0.50,"Jun 5, 1987",0.4,,,22.03 yrs,43rd,2009,,.086,.544,.472,8.3-17.5,.745,.369,4.8-6.5,35,"6'3.75"" (6'5"" wingspan)",Tara High School,"Baton Rouge, LA",10.73,"33.0""",36.0,Marcus Thornton,USA,,,.151,,2.3,SG,LSU,.368,23.8,6.2,Senior,,"8'3""",1.8,Marcus Thornton 2009 Draft Profile | Tankathon,2.1,.580,https://tankathon.com/players/marcus-thornton,30.9,194 lbs,"6'5""",.237
3.3,,.000,0.0-0.0,1.5,0.52,0.34,"Jul 27, 1987",1.7,,,21.89 yrs,8th,2009,,.069,.537,.537,7.5-13.9,.654,.382,3.5-5.3,34,"6'10.25"" (7'1.5"" wingspan)",The Patterson School,"Newberry, SC",12.23,"35.0""",36.0,Jordan Hill,USA,,,.099,,3.0,PF,Arizona,.311,18.4,11.1,Junior,,"9'0""",0.9,Jordan Hill 2009 Draft Profile | Tankathon,2.9,.560,https://tankathon.com/players/jordan-hill,28.2,232 lbs,"7'1.5""",.168
3.41,,.000,0.0-0.0,1.3,0.61,,"Jun 24, 1985",3.1,,,23.98 yrs,26th,2009,,,.601,.601,5.8-9.6,.659,.576,3.7-5.6,35,"6'9.75"" (7'4"" wingspan)",Calvary Christian,"Brooklyn, NY",11.56,"30.0""",36.0,Taj Gibson,USA,,,,,3.1,PF,USC,.312,15.3,9.6,Junior,,"9'1""",1.0,Taj Gibson 2009 Draft Profile | Tankathon,2.2,.621,https://tankathon.com/players/taj-gibson,,214 lbs,"7'4""",
3.32,.376,.404,3.3-8.9,2.1,0.67,0.45,"Dec 8, 1986",0.9,,,22.52 yrs,32nd,2009,,.057,.556,.480,10.6-22.1,.812,.281,5.0-6.2,31,"6'4.75"" (6'8.75"" wingspan)",Tavares High School,"Tavares, FL",11.54,"37.5""",36.0,Jermaine Taylor,USA,,,.198,,2.0,SG,UCF,.390,29.6,5.9,Senior,,"8'5""",1.4,Jermaine Taylor 2009 Draft Profile | Tankathon,3.2,.591,https://tankathon.com/players/jermaine-taylor,39.3,207 lbs,"6'8.75""",.251
,.414,.312,1.0-2.5,3.4,1.14,,"Apr 5, 1988",0.2,,,22.20 yrs,53rd,2010,,,.570,.505,4.0-7.9,.710,.742,4.2-5.8,30,"6'7""",,"Loudéac, France",,,36.0,Pape Sy,France,,,,,4.7,SF,,.340,13.1,4.3,International,,,1.6,Pape Sy 2010 Draft Profile | Tankathon,3.0,.616,https://tankathon.com/players/pape-sy,,224 lbs,,
,,.000,0.0-0.0,0.9,0.28,0.22,"Mar 2, 1988",3.5,,,22.29 yrs,32nd,2010,,.080,.654,.654,7.8-11.9,.556,.631,4.2-7.5,34,"6'11.5"" (7'6"" wingspan)",B.F. Terry High School,"Rosenberg, TX",,,36.0,Dexter Pittman,USA,,,.130,,5.0,C,Texas,.297,19.7,11.1,Senior,,"9'3""",0.7,Dexter Pittman 2010 Draft Profile | Tankathon,3.3,.638,https://tankathon.com/players/dexter-pittman,23.6,303 lbs,"7'6""",.210
3.2,.383,.224,1.3-3.3,1.2,0.48,0.23,"Oct 7, 1987",1.4,,,22.69 yrs,24th,2010,,.105,.544,.501,7.3-14.7,.674,.549,5.4-8.0,34,"6'7.75"" (7'0.75"" wingspan)",Nacogdoches High School,"Nacogdoches, TX",10.89,"33.0""",36.0,Damion James,USA,,,.148,,3.5,SF,Texas,.338,21.4,12.2,Senior,,"8'11""",2.0,Damion James 2010 Draft Profile | Tankathon,2.4,.578,https://tankathon.com/players/damion-james,26.3,227 lbs,"7'0.75""",.253
3.23,.342,.204,0.8-2.4,1.1,0.44,0.31,"Jul 14, 1988",1.3,,,21.92 yrs,59th,2010,,.062,.559,.525,6.3-12.0,.629,.251,1.9-3.0,34,"6'7.75"" (7'0"" wingspan)",Huffman High School,"Birmingham, AL",11.65,"37.5""",36.0,Stanley Robinson,USA,,,.083,,1.6,SF,UConn,.323,15.3,8.0,Senior,,"8'11.5""",0.9,Stanley Robinson 2010 Draft Profile | Tankathon,2.4,.570,https://tankathon.com/players/stanley-robinson,21.5,213 lbs,"7'0""",.144
3.15,.341,.400,2.0-5.8,1.7,1.16,0.38,"Mar 7, 1990",0.2,,,20.28 yrs,36th,2010,,.044,.498,.430,6.3-14.6,.714,.266,2.8-3.9,35,"6'5"" (6'9"" wingspan)",Craigmont High School,"Memphis, TN",11.38,"40.0""",36.0,Terrico White,USA,,,.109,,2.0,SG,Ole Miss,.354,17.3,5.2,Sophomore,,"8'5""",1.0,Terrico White 2010 Draft Profile | Tankathon,1.5,.526,https://tankathon.com/players/terrico-white,23.9,203 lbs,"6'9""",.149
,,.000,0.0-0.0,1.5,0.56,0.38,"Sep 29, 1986",2.8,,,23.71 yrs,44th,2010,,.088,.549,.549,6.4-11.6,.688,.746,5.9-8.6,35,"7'0.75"" (7'5.25"" wingspan)",,"Kingston, Jamaica",,,36.0,Jerome Jordan,Jamaica,,,.130,,3.4,C,Tulsa,.316,18.6,10.9,Senior,,"9'5""",0.6,Jerome Jordan 2010 Draft Profile | Tankathon,2.7,.595,https://tankathon.com/players/jerome-jordan,26.0,244 lbs,"7'5.25""",.215
3.14,.375,.304,1.5-4.0,2.5,1.37,0.61,"Nov 26, 1990",0.6,,,19.55 yrs,19th,2010,,.064,.489,.432,5.7-13.2,.545,.179,1.3-2.4,34,"6'3.25"" (6'7.25"" wingspan)",Findlay Prep,"Tacoma, WA",11.47,"37.5""",36.0,Avery Bradley,USA,,,.064,,2.9,SG,Texas,.324,14.2,3.5,Freshman,,"8'2.5""",1.6,Avery Bradley 2010 Draft Profile | Tankathon,1.9,.496,https://tankathon.com/players/avery-bradley,20.4,180 lbs,"6'7.25""",.128
3.22,.294,.429,1.4-4.6,1.8,0.73,0.49,"Mar 23, 1990",0.9,,,20.23 yrs,9th,2010,,.097,.527,.464,5.0-10.8,.829,.579,5.2-6.3,37,"6'8"" (6'7.75"" wingspan)",Brownsburg High School,"Brownsburg, IN",11.73,"34.5""",36.0,Gordon Hayward,USA,,,.129,,2.3,SF,Butler,.357,16.6,8.9,Sophomore,,"8'7""",1.2,Gordon Hayward 2010 Draft Profile | Tankathon,2.5,.601,https://tankathon.com/players/gordon-hayward,24.7,211 lbs,"6'7.75""",.223
3.31,.349,.362,2.1-6.1,1.7,0.78,0.35,"Nov 26, 1986",0.6,,,23.55 yrs,30th,2010,,.080,.495,.432,7.3-16.9,.843,.247,3.5-4.2,34,"6'5.75"" (7'0.75"" wingspan)",Notre Dame Prep School,"Buffalo, NY",10.87,"36.0""",36.0,Lazar Hayward,USA,,,.117,,3.8,SF,Marquette,.374,20.2,8.4,Senior,,"8'6""",2.1,Lazar Hayward 2010 Draft Profile | Tankathon,2.2,.536,https://tankathon.com/players/lazar-hayward,31.6,226 lbs,"7'0.75""",.197
3.61,.267,.057,0.2-0.8,1.5,0.39,0.33,"May 4, 1988",1.2,,,22.12 yrs,58th,2010,,.100,.575,.567,7.4-13.1,.672,.456,4.0-6.0,27,"6'9.5"" (7'0.25"" wingspan)",Notre Dame Prep,"Fanwood, NJ",12.78,"30.5""",36.0,Derrick Caracter,USA,,,.089,,4.1,PF,UTEP,.317,19.0,10.9,Junior,,"8'11.5""",1.3,Derrick Caracter 2010 Draft Profile | Tankathon,3.9,.598,https://tankathon.com/players/derrick-caracter,27.4,280 lbs,"7'0.25""",.189
3.35,,.000,0.0-0.0,1.2,0.55,0.29,"Oct 31, 1988",4.7,,,21.62 yrs,11th,2010,,.120,.562,.562,5.6-9.9,.679,.600,4.0-5.9,36,"6'11.25"" (7'4.75"" wingspan)",Thomas Jefferson High School,"Bloomington, MN",11.48,"28.0""",36.0,Cole Aldrich,USA,,,.125,,3.4,C,Kansas,.314,15.2,13.2,Junior,,"9'3.5""",1.0,Cole Aldrich 2010 Draft Profile | Tankathon,2.1,.596,https://tankathon.com/players/cole-aldrich,19.9,236 lbs,"7'4.75""",.245
3.37,.391,.359,2.5-6.3,3.2,1.19,0.65,"Oct 23, 1988",0.2,,,21.65 yrs,27th,2010,,.063,.532,.462,8.2-17.7,.773,.274,3.7-4.8,35,"6'4.5"" (6'7"" wingspan)",Hargrave Military Academy,"Detroit, MI",11.03,"34.5""",36.0,Jordan Crawford,USA,,,.143,,1.8,SG,Xavier,.371,22.5,5.2,Sophomore,,"8'5""",1.5,Jordan Crawford 2010 Draft Profile | Tankathon,2.7,.564,https://tankathon.com/players/jordan-crawford,30.8,198 lbs,"6'7""",.206
,,,,,,,"Mar 29, 1989",,,,21.22 yrs,48th,2010,,,,,,,,,,"6'8""",Christian Life Center Academy,"Starkville, MS",,,,Latavious Williams,USA,,,,,,SF,,,,,G League,,,,Latavious Williams 2010 Draft Profile | Tankathon,,,https://tankathon.com/players/latavious-williams,,230 lbs,,
3.49,.407,.811,3.1-7.6,5.4,1.74,1.30,"Nov 2, 1986",0.3,,,23.62 yrs,38th,2010,,.074,.603,.438,4.1-9.4,.815,.273,2.1-2.6,35,"6'5"" (6'7"" wingspan)",Jamesville-DeWitt High School,"DeWitt, NY",11.27,"30.5""",36.0,Andy Rautins,USA,,,.102,,2.4,SG,Syracuse,.387,13.4,3.7,Senior,,"8'4""",2.2,Andy Rautins 2010 Draft Profile | Tankathon,3.1,.632,https://tankathon.com/players/andy-rautins,18.4,192 lbs,"6'7""",.172
3.21,,.000,0.0-0.0,1.2,0.48,0.32,"Jun 5, 1989",3.6,,,21.03 yrs,13th,2010,,.081,.578,.578,6.2-10.8,.659,.688,4.9-7.4,23,"6'9.75"" (7'0"" wingspan)",Benedictine High School,"Washington, DC",11.7,"36.0""",36.0,Ed Davis,USA,,,.112,,2.4,PF,North Carolina,.312,17.4,12.4,Sophomore,,"9'0""",0.6,Ed Davis 2010 Draft Profile | Tankathon,2.6,.607,https://tankathon.com/players/ed-davis,21.5,227 lbs,"7'0""",.193
,,.000,0.0-0.0,1.7,0.48,0.41,"Apr 13, 1988",1.6,,,22.18 yrs,60th,2010,,.078,.604,.604,6.4-10.7,.569,.755,4.6-8.0,29,"6'8""",Miami Senior High School,"Miami, FL",,,36.0,Dwayne Collins,USA,,,.106,,3.4,PF,Miami,.299,17.4,11.3,Senior,,,0.9,Dwayne Collins 2010 Draft Profile | Tankathon,3.6,.602,https://tankathon.com/players/dwayne-collins,25.4,241 lbs,,.184
,.538,.481,1.9-3.5,1.6,0.86,,"May 9, 1988",0.0,,,22.10 yrs,35th,2010,,,.796,.667,4.8-7.3,.727,.407,2.1-3.0,9,"6'10""",,"Belgrade, Serbia",,,36.0,Nemanja Bjelica,Serbia,,,,,5.6,PF,,,13.7,6.7,International,,,1.1,Nemanja Bjelica 2010 Draft Profile | Tankathon,1.9,.791,https://tankathon.com/players/nemanja-bjelica,,223 lbs,,
3.37,,,,,,,"Apr 24, 1991",,,,19.15 yrs,49th,2010,,,,,,,,,,"6'11.75"" (7'1.5"" wingspan)",,"Chatham, England",11.33,"28.5""",,Ryan Richards,United Kingdom,,,,,,PF/C,,,,,International,,"9'2""",,Ryan Richards 2010 Draft Profile | Tankathon,,,https://tankathon.com/players/ryan-richards,,230 lbs,"7'1.5""",
,,.000,0.0-0.0,1.0,0.42,0.24,"Feb 23, 1986",2.5,,,24.31 yrs,51st,2010,,.062,.514,.514,6.6-12.9,.660,.383,3.3-5.0,34,"6'11""",Laurinburg Institute,"Freeport, Bahamas",,,36.0,Magnum Rolle,Bahamas,,,.101,,3.3,PF,Louisiana Tech,.312,16.5,10.0,Senior,,,0.9,Magnum Rolle 2010 Draft Profile | Tankathon,2.4,.541,https://tankathon.com/players/magnum-rolle,24.2,235 lbs,,.164
3.14,.325,.260,1.0-3.2,6.7,1.62,1.35,"Sep 6, 1990",0.5,,,19.78 yrs,1st,2010,,.081,.503,.461,5.6-12.2,.754,.530,4.9-6.5,37,"6'4"" (6'9.25"" wingspan)",Word of God Christian Academy,"Raleigh, NC",10.84,"39.0""",36.0,John Wall,USA,,,.115,,2.0,PG,Kentucky,.342,17.2,4.4,Freshman,,"8'5.5""",1.8,John Wall 2010 Draft Profile | Tankathon,4.2,.562,https://tankathon.com/players/john-wall,25.7,196 lbs,"6'9.25""",.196
3.55,.167,.016,0.0-0.2,1.5,0.49,0.30,"Aug 13, 1990",2.7,,,19.84 yrs,5th,2010,,.121,.560,.558,8.3-14.9,.604,.726,6.5-10.8,38,"6'10.75"" (7'5.75"" wingspan)",LeFlore Magnet High School,"Mobile, AL",11.4,"27.5""",36.0,DeMarcus Cousins,USA,,,.170,,4.9,C,Kentucky,.305,23.2,15.1,Freshman,,"9'5""",1.5,DeMarcus Cousins 2010 Draft Profile | Tankathon,3.1,.579,https://tankathon.com/players/demarcus-cousins,30.5,292 lbs,"7'5.75""",.291
,.235,.076,0.2-0.9,1.2,0.34,0.32,"Jan 18, 1991",1.2,,,19.41 yrs,47th,2010,,.044,.556,.547,6.1-11.2,.697,.399,3.1-4.5,30,"6'9.5"" (7'4.5"" wingspan)",Oak Hill Academy,"Vallejo, CA",,,36.0,Tiny Gallon,USA,,,.078,,4.3,PF/C,Oklahoma,.316,15.5,11.9,Freshman,,,1.1,Tiny Gallon 2010 Draft Profile | Tankathon,3.5,.584,https://tankathon.com/players/tiny-gallon,23.7,302 lbs,,.122
3.35,.259,.070,0.2-0.8,4.0,1.14,0.84,"Jun 4, 1990",1.6,,,20.03 yrs,7th,2010,,.079,.534,.525,6.2-11.9,.660,.543,4.3-6.5,34,"6'11"" (7'2.25"" wingspan)",Helen Cox High School,"Harvey, LA",12.1,"29.0""",36.0,Greg Monroe,USA,,,.110,,2.7,PF/C,Georgetown,.312,17.0,10.1,Sophomore,,"9'0.5""",1.3,Greg Monroe 2010 Draft Profile | Tankathon,3.5,.567,https://tankathon.com/players/greg-monroe,26.7,247 lbs,"7'2.25""",.189
3.5,.309,.401,1.6-5.2,4.6,1.08,0.97,"Oct 22, 1989",0.1,,,20.65 yrs,54th,2010,,.012,.500,.438,5.6-12.8,.795,.525,5.4-6.7,21,"6'3.75"" (6'6"" wingspan)",North Crowley High School,"Fort Worth, TX",11.21,"31.5""",36.0,Willie Warren,USA,,,.083,,2.5,PG/SG,Oklahoma,.357,18.2,3.7,Sophomore,,"8'3.5""",1.1,Willie Warren 2010 Draft Profile | Tankathon,4.2,.567,https://tankathon.com/players/willie-warren,28.7,208 lbs,"6'6""",.100
,.250,.057,0.1-0.5,1.0,0.69,0.35,"Oct 24, 1987",2.4,,,22.64 yrs,55th,2010,,.071,.656,.649,5.5-8.4,.688,.441,2.6-3.7,34,"6'9""",Crossett High School,"Crossett, AR",,,36.0,Jeremy Evans,USA,,,.142,,3.9,PF/SF,Western Kentucky,.318,13.6,9.4,Senior,,,1.1,Jeremy Evans 2010 Draft Profile | Tankathon,1.4,.668,https://tankathon.com/players/jeremy-evans,16.8,196 lbs,,.218
,,.000,0.0-0.0,0.7,0.34,,"Feb 15, 1998",1.0,,,12.33 yrs,45th,2010,,,.574,.574,6.0-10.4,.694,.251,1.8-2.6,28,"6'11""",,"Monte Aprazível, Brazil",,,36.0,Paulao Prestes,Brazil,,,,,3.4,C,,.316,13.8,10.9,International,,,1.1,Paulao Prestes 2010 Draft Profile | Tankathon,2.0,.591,https://tankathon.com/players/paulao-prestes,,260 lbs,,
