3/4_sprint,3p%,3pa_rate,3pm-3pa,ast,ast/to,ast/usg,birth_date,blk,bpm,dbpm,draft_age,draft_position,draft_year,drtg,dws/40,effective_fg%,fg%,fgm-fga,ft%,fta_rate,ftm-fta,g,height,high_school,home_town,lane_agility,max_vertical,mp,name,nation,obpm,ortg,ows/40,per,pf,position,pre-draft_team,proj_nba_3p%,pts,reb,school_year,shuttle,standing_reach,stl,title,to,true_shooting_%,url,usg%,weight,wingspan,ws/40
3.1,.374,.344,2.2-5.8,1.6,0.68,,"Apr 11, 1981",0.1,,,23.18 yrs,55th,2004,,,.507,.442,7.5-17.0,.863,.456,6.7-7.7,31,"6'1.75"" (6'7.5"" wingspan)",Norman Thomas High School,"New York, NY",10.97,"32.0""",36.0,Luis Flores,Dominican Republic,,,,,2.4,PG,Manhattan,.378,23.9,3.9,Senior,,"8'2.5""",1.9,Luis Flores 2004 Draft Profile | Tankathon,2.3,.578,https://tankathon.com/players/luis-flores,,202 lbs,"6'7.5""",
,.000,.003,0.0-0.0,1.0,0.32,,"Aug 15, 1982",3.3,,,21.83 yrs,29th,2004,,,.631,.631,7.3-11.6,.539,.786,4.9-9.1,29,"7'0""",Brentwood Academy,"Nashville, TN",,,36.0,David Harrison,USA,,,,,3.7,C,Colorado,.295,19.5,10.0,Junior,,,0.7,David Harrison 2004 Draft Profile | Tankathon,3.1,.613,https://tankathon.com/players/david-harrison,,260 lbs,,
,.413,.372,2.0-4.8,5.8,2.23,1.53,"Feb 25, 1980",0.2,,,24.30 yrs,36th,2004,,.097,.551,.474,6.2-13.0,.632,.307,2.5-4.0,30,"6'0.75"" (6'6.5"" wingspan)",Booker T. Washington High School,"Memphis, TN",,,36.0,Antonio Burks,USA,,,.101,,2.4,PG,Memphis,.345,16.8,3.4,Senior,,"8'0.5""",2.5,Antonio Burks 2004 Draft Profile | Tankathon,2.6,.566,https://tankathon.com/players/antonio-burks,23.7,191 lbs,"6'6.5""",.198
3.18,.315,.242,0.9-2.7,5.5,1.77,1.16,"Jan 28, 1984",0.4,,,20.38 yrs,9th,2004,,.062,.488,.450,5.1-11.3,.788,.391,3.5-4.4,30,"6'6.75"" (6'11"" wingspan)",Lanphier High School,"Springfield, IL",11.17,"34.5""",36.0,Andre Iguodala,USA,,,.058,,2.8,SF,Arizona,.344,14.5,9.5,Sophomore,,"8'9.5""",1.8,Andre Iguodala 2004 Draft Profile | Tankathon,3.1,.542,https://tankathon.com/players/andre-iguodala,20.4,217 lbs,"6'11""",.125
3.23,,,,,,,"Sep 11, 1985",,,,18.76 yrs,4th,2004,,,,,,,,,,"6'7.5"" (6'11"" wingspan)",Peoria High School,"Peoria, IL",10.72,"30.0""",,Shaun Livingston,USA,,,,,,PG,,,,,HS Senior,,"8'9.5""",,Shaun Livingston 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/shaun-livingston,,186 lbs,"6'11""",
3.29,.237,.303,0.8-3.5,2.4,0.64,,"Jun 30, 1985",0.5,,,18.96 yrs,43rd,2004,,,.462,.426,4.9-11.5,.504,.450,2.6-5.2,25,"6'8.25"" (7'2"" wingspan)",Westchester High School,"Los Angeles, CA",11.63,"32.0""",36.0,Trevor Ariza,USA,,,,,3.1,SF,UCLA,.302,13.2,7.4,Freshman,,"8'11.5""",1.9,Trevor Ariza 2004 Draft Profile | Tankathon,3.7,.474,https://tankathon.com/players/trevor-ariza,,201 lbs,"7'2""",
3.15,.412,.327,1.9-4.6,5.1,1.84,,"Jul 26, 1983",0.2,,,20.89 yrs,24th,2004,,,.577,.510,7.1-14.0,.892,.334,4.2-4.7,32,"6'2.75"" (6'6"" wingspan)",Eleanor Roosevelt High School,"Greenbelt, MD",11.2,"35.0""",36.0,Delonte West,USA,,,,,2.0,SG,Saint Joseph's,.378,20.3,5.8,Junior,,"8'3.5""",1.8,Delonte West 2004 Draft Profile | Tankathon,2.8,.627,https://tankathon.com/players/delonte-west,,183 lbs,"6'6""",
3.18,.349,.485,2.0-5.7,2.2,1.33,0.56,"Mar 2, 1981",0.1,,,23.29 yrs,52nd,2004,,.085,.489,.404,4.7-11.7,.829,.463,4.5-5.4,37,"6'3.25"" (6'11"" wingspan)",Dayton Christian High School,"Bimbo, Central African Republic",11.27,"35.5""",36.0,Romain Sato,Central African Republic,,,.088,,2.3,SG,Xavier,.369,15.9,7.8,Senior,,"8'6.5""",1.2,Romain Sato 2004 Draft Profile | Tankathon,1.7,.558,https://tankathon.com/players/romain-sato,22.7,204 lbs,"6'11""",.173
3.34,.360,.252,1.3-3.5,2.1,0.82,0.48,"Apr 16, 1985",1.2,,,19.16 yrs,7th,2004,,.111,.522,.476,6.6-13.8,.710,.313,3.1-4.3,37,"6'8"" (7'0.5"" wingspan)",Blair Academy,"London, UK",11.46,"31.5""",36.0,Luol Deng,South Sudan,,,.084,,2.6,SF,Duke,.342,17.5,8.0,Freshman,,"9'0.5""",1.5,Luol Deng 2004 Draft Profile | Tankathon,2.6,.551,https://tankathon.com/players/luol-deng,24.7,220 lbs,"7'0.5""",.195
3.14,.302,.312,0.8-2.6,6.2,2.16,1.78,"Aug 31, 1982",0.2,,,21.79 yrs,38th,2004,,.088,.495,.448,3.8-8.5,.722,.292,1.8-2.5,37,"6'1.25"" (6'6.5"" wingspan)",Salmen High School,"Slidell, LA",10.45,"35.0""",36.0,Chris Duhon,USA,,,.043,,2.1,PG,Duke,.333,10.2,4.1,Senior,,"8'2""",2.2,Chris Duhon 2004 Draft Profile | Tankathon,2.9,.527,https://tankathon.com/players/chris-duhon,16.7,193 lbs,"6'6.5""",.131
